segment,time_s,min_speed_mph,max_speed_mph,likely_speed_mph,min_position_ft,max_position_ft,likely_position_ft
1,5.798319327731092,-26.83495798319328,-0.0,-21.036638655462184,42797.54236485419,42797.54236485419,42797.54236485419
1,5.92436974789916,-27.213109243697478,-0.0,-21.288739495798318,42790.024697178975,42790.024697178975,42790.024697178975
1,6.050420168067227,-27.591260504201678,-0.0,-21.54084033613445,42782.530332995746,42782.530332995746,42782.530332995746
1,6.1764705882352935,-27.96941176470588,-0.0,-21.792941176470585,42775.0592723045,42775.0592723045,42775.0592723045
1,6.302521008403361,-28.347563025210086,-0.0,-22.045042016806722,42767.611515105236,42767.611515105236,42767.611515105236
1,6.428571428571429,-28.725714285714286,-0.0,-22.297142857142855,42760.187061397955,42760.187061397955,42760.187061397955
1,6.554621848739496,-29.10386554621849,-0.0,-22.54924369747899,42752.78591118267,42752.78591118267,42752.78591118267
1,6.680672268907562,-29.48201680672269,-0.0,-22.801344537815122,42745.40806445936,42745.40806445936,42745.40806445936
1,6.80672268907563,-29.860168067226887,-0.0,-23.05344537815126,42738.05352122804,42738.05352122804,42738.05352122804
1,6.932773109243698,-30.238319327731094,-0.0,-23.305546218487397,42730.7222814887,42730.7222814887,42730.7222814887
1,7.0588235294117645,-30.616470588235295,-0.0,-23.557647058823527,42723.41434524135,42723.41434524135,42723.41434524135
1,7.184873949579831,-30.99462184873949,-0.0,-23.809747899159664,42716.129712485985,42716.129712485985,42716.129712485985
1,7.310924369747899,-31.372773109243695,-0.0,-24.061848739495797,42708.8683832226,42708.8683832226,42708.8683832226
1,7.436974789915967,-31.7509243697479,-0.0,-24.31394957983193,42701.6303574512,42701.6303574512,42701.6303574512
1,7.563025210084033,-32.1290756302521,-0.0,-24.566050420168065,42694.41563517179,42694.41563517179,42694.41563517179
1,7.6890756302521,-32.5072268907563,-0.0,-24.8181512605042,42687.22421638436,42687.22421638436,42687.22421638436
1,7.815126050420168,-32.885378151260504,-0.0,-25.07025210084034,42680.05610108892,42680.05610108892,42680.05610108892
1,7.9411764705882355,-33.26352941176471,-0.0,-25.32235294117647,42672.91128928547,42672.91128928547,42672.91128928547
1,8.067226890756302,-33.64168067226891,-0.0,-25.574453781512606,42665.789780973995,42665.789780973995,42665.789780973995
