segment,time_s,min_speed_mph,max_speed_mph,likely_speed_mph,min_position_ft,max_position_ft,likely_position_ft
1,0.0,5.28,5.28,5.28,2004.52,2004.52,2004.52
1,0.25210084033613445,4.019495798319328,6.036302521008404,5.784201680672269,2006.2392384246875,2006.612094296448,2006.565487312478
1,0.5042016806722689,2.7589915966386562,6.792605042016808,6.288403361344538,2007.4924070096745,2008.9838304967163,2008.797402560836
1,0.7563025210084033,1.4984873949579838,7.548907563025211,6.792605042016807,2008.2795057549608,2011.635208600805,2011.2157457450744
1,1.0084033613445378,0.23798319327731146,8.305210084033614,7.296806722689076,2008.6005346605466,2014.566228608714,2013.820516865193
1,1.2605042016806722,0.0,9.061512605042017,7.801008403361345,2008.6088412928,2017.7768905204434,2016.611715921192
1,1.5126050420168067,0.0,9.817815126050421,8.305210084033614,2008.6088412928,2021.2671943359933,2019.589342913071
1,1.7647058823529411,0.0,10.574117647058824,8.809411764705883,2008.6088412928,2025.0371400553634,2022.7533978408303
1,2.0168067226890756,0.0,11.330420168067228,9.313613445378152,2008.6088412928,2029.0867276785539,2026.10388070447
1,2.26890756302521,0.0,12.086722689075632,9.817815126050421,2008.6088412928,2033.4159572055646,2029.6407915039897
1,2.5210084033613445,0.0,12.843025210084033,10.32201680672269,2008.6088412928,2038.0248286363958,2033.3641302393899
1,2.773109243697479,0.0,13.599327731092437,10.826218487394957,2008.6088412928,2042.9133419710472,2037.2738969106701
1,3.0252100840336134,0.0,14.355630252100841,11.330420168067228,2008.6088412928,2048.081497209519,2041.3700915178306
1,3.277310924369748,0.0,15.111932773109245,11.834621848739495,2008.6088412928,2053.529294351811,2045.6527140608714
1,3.5294117647058822,0.0,15.868235294117646,12.338823529411766,2008.6088412928,2059.2567333979237,2050.1217645397924
1,3.7815126050420167,0.0,16.62453781512605,12.843025210084033,2008.6088412928,2065.2638143478566,2054.7772429545935
1,4.033613445378151,0.0,17.380840336134455,13.347226890756303,2008.6088412928,2071.55053720161,2059.6191493052747
1,4.285714285714286,0.0,18.137142857142855,13.85142857142857,2008.6088412928,2078.1169019591835,2064.6474835918366
1,4.53781512605042,0.0,18.89344537815126,14.355630252100841,2008.6088412928,2084.9629086205778,2069.8622458142786
1,4.7899159663865545,0.0,19.649747899159664,14.859831932773108,2008.6088412928,2092.088557185792,2075.2634359726007
1,5.042016806722689,0.0,20.406050420168068,15.364033613445379,2008.6088412928,2099.493847654827,2080.851054066803
1,5.294117647058823,0.0,21.162352941176472,15.868235294117646,2008.6088412928,2107.1787800276816,2086.6251000968855
1,5.546218487394958,0.0,21.918655462184873,16.372436974789913,2008.6088412928,2115.143354304357,2092.5855740628485
1,5.798319327731092,0.0,22.67495798319328,16.876638655462184,2008.6088412928,2123.387570484853,2098.7324759646917
1,6.050420168067227,0.0,23.43126050420168,17.026465627601123,2008.6088412928,2131.911428569169,2105.0141405850427
1,6.302521008403361,0.0,24.187563025210085,17.026465627601123,2008.6088412928,2140.714928557305,2111.3096547889168
1,6.554621848739496,0.0,24.94386554621849,17.026465627601123,2008.6088412928,2149.798070449262,2117.605168992791
1,6.80672268907563,0.0,25.700168067226894,17.026465627601123,2008.6088412928,2159.160854245039,2123.900683196665
1,7.0588235294117645,0.0,26.456470588235295,17.026465627601123,2008.6088412928,2168.8032799446364,2130.196197400539
1,7.310924369747899,0.0,27.212773109243695,17.026465627601123,2008.6088412928,2178.7253475480543,2136.491711604413
1,7.563025210084033,0.0,27.969075630252103,17.026465627601123,2008.6088412928,2188.9270570552926,2142.787225808287
1,7.815126050420168,0.0,28.725378151260504,17.026465627601123,2008.6088412928,2189.855264512,2149.082740012161
1,8.067226890756302,0.0,29.48168067226891,17.026465627601123,2008.6088412928,2189.855264512,2155.378254216035
1,8.319327731092436,0.0,30.23798319327731,17.026465627601123,2008.6088412928,2189.855264512,2161.673768419909
1,8.571428571428571,0.0,30.994285714285713,17.026465627601123,2008.6088412928,2189.855264512,2167.969282623783
1,8.823529411764707,0.0,31.75058823529412,17.026465627601123,2008.9600924186852,2189.855264512,2174.264796827657
1,9.07563025210084,0.0,32.506890756302525,17.026465627601123,2022.0980419160371,2189.855264512,2180.5603110315305
1,9.327731092436974,0.0,33.263193277310926,16.62453781512605,2034.7699215736884,2189.855264512,2186.7909729928515
1,9.579831932773109,0.0,32.380840336134455,16.12033613445378,2046.975731391639,2189.855264512,2189.855264512
1,9.831932773109244,0.0,31.12033613445378,15.61613445378151,2058.715471369889,2189.855264512,2189.855264512
1,10.084033613445378,0.0,29.85983193277311,15.111932773109244,2069.989141508439,2189.855264512,2189.855264512
1,10.336134453781511,0.0,28.599327731092444,14.607731092436978,2080.7967418072876,2189.855264512,2189.855264512
1,10.588235294117647,0.0,27.338823529411766,14.103529411764704,2091.138272266436,2189.855264512,2189.855264512
1,10.840336134453782,0.0,26.07831932773109,13.599327731092435,2101.0137328858837,2189.855264512,2189.855264512
1,11.092436974789916,0.0,24.817815126050423,13.095126050420166,2110.423123665631,2189.855264512,2189.855264512
1,11.34453781512605,0.0,23.557310924369755,12.590924369747901,2119.3664446056778,2189.855264512,2189.855264512
1,11.596638655462185,0.0,22.296806722689077,12.086722689075629,2127.8436957060235,2189.855264512,2189.855264512
1,11.84873949579832,0.0,21.036302521008402,11.58252100840336,2135.854876966669,2189.855264512,2189.855264512
1,12.100840336134453,0.0,19.77579831932773,11.078319327731094,2143.399988387614,2189.855264512,2189.855264512
1,12.352941176470587,0.0,18.515294117647066,10.574117647058825,2150.479029968858,2189.855264512,2189.855264512
