segment,time_s,min_speed_mph,max_speed_mph,likely_speed_mph,min_velocity_ms,max_velocity_ms,likely_velocity_ms,min_position_ft,max_position_ft,likely_position_ft
1,0.0,11.810997156824644,11.810997156824644,11.810997156824644,5.279988168986889,5.279988168986889,5.279988168986889,2004.52,2004.52,2004.52
1,0.12605042016806722,11.657150790540884,11.657150790540884,11.657150790540884,5.211212689403396,5.211212689403396,5.211212689403396,2006.6893295304599,2006.6893295304599,2006.6893295304599
1,0.25210084033613445,11.505911989787355,11.505911989787355,11.505911989787355,5.1436028959145395,5.1436028959145395,5.1436028959145395,2008.830457846932,2008.830457846932,2008.830457846932
1,0.37815126050420167,11.35728075456406,11.35728075456406,11.35728075456406,5.077158788520317,5.077158788520317,5.077158788520317,2010.9438670214504,2010.9438670214504,2010.9438670214504
1,0.5042016806722689,11.211257084871002,11.211257084871002,11.211257084871002,5.011880367220733,5.011880367220733,5.011880367220733,2013.030039126049,2013.030039126049,2013.030039126049
1,0.6302521008403361,11.067840980708175,11.067840980708175,11.067840980708175,4.947767632015783,4.947767632015783,4.947767632015783,2015.0894562327617,2015.0894562327617,2015.0894562327617
1,0.7563025210084033,10.927032442075578,10.927032442075578,10.927032442075578,4.8848205829054665,4.8848205829054665,4.8848205829054665,2017.1226004136226,2017.1226004136226,2017.1226004136226
1,0.8823529411764706,10.788831468973218,10.788831468973218,10.788831468973218,4.823039219889787,4.823039219889787,4.823039219889787,2019.1299537406658,2019.1299537406658,2019.1299537406658
1,1.0084033613445378,10.653238061401089,10.653238061401089,10.653238061401089,4.762423542968743,4.762423542968743,4.762423542968743,2021.111998285925,2021.111998285925,2021.111998285925
1,1.134453781512605,10.520252219359193,10.520252219359193,10.520252219359193,4.702973552142334,4.702973552142334,4.702973552142334,2023.0692161214345,2023.0692161214345,2023.0692161214345
1,1.2605042016806722,10.389873942847533,10.389873942847533,10.389873942847533,4.644689247410561,4.644689247410561,4.644689247410561,2025.002089319228,2025.002089319228,2025.002089319228
1,1.3865546218487395,10.262103231866105,10.262103231866105,10.262103231866105,4.587570628773423,4.587570628773423,4.587570628773423,2026.9110999513396,2026.9110999513396,2026.9110999513396
1,1.5126050420168067,10.13694008641491,10.13694008641491,10.13694008641491,4.531617696230922,4.531617696230922,4.531617696230922,2028.7967300898033,2028.7967300898033,2028.7967300898033
1,1.638655462184874,10.014384506493949,10.014384506493949,10.014384506493949,4.476830449783055,4.476830449783055,4.476830449783055,2030.659461806653,2030.659461806653,2030.659461806653
1,1.7647058823529411,9.89443649210322,9.89443649210322,9.89443649210322,4.423208889429823,4.423208889429823,4.423208889429823,2032.499777173923,2032.499777173923,2032.499777173923
1,1.8907563025210083,9.777096043242723,9.777096043242723,9.777096043242723,4.370753015171227,4.370753015171227,4.370753015171227,2034.3181582636466,2034.3181582636466,2034.3181582636466
1,2.0168067226890756,9.662363159912461,9.662363159912461,9.662363159912461,4.319462827007267,4.319462827007267,4.319462827007267,2036.1150871478583,2036.1150871478583,2036.1150871478583
1,2.142857142857143,9.550237842112432,9.550237842112432,9.550237842112432,4.269338324937942,4.269338324937942,4.269338324937942,2037.891045898592,2037.891045898592,2037.891045898592
1,2.26890756302521,9.440720089842637,9.440720089842637,9.440720089842637,4.220379508963252,4.220379508963252,4.220379508963252,2039.6465165878815,2039.6465165878815,2039.6465165878815
1,2.3949579831932772,9.333809903103074,9.333809903103074,9.333809903103074,4.172586379083198,4.172586379083198,4.172586379083198,2041.381981287761,2041.381981287761,2041.381981287761
1,2.5210084033613445,9.229507281893744,9.229507281893744,9.229507281893744,4.1259589352977795,4.1259589352977795,4.1259589352977795,2043.0979220702643,2043.0979220702643,2043.0979220702643
1,2.6470588235294117,9.12781222621465,9.12781222621465,9.12781222621465,4.080497177606997,4.080497177606997,4.080497177606997,2044.7948210074255,2044.7948210074255,2044.7948210074255
1,2.773109243697479,9.028724736065787,9.028724736065787,9.028724736065787,4.036201106010849,4.036201106010849,4.036201106010849,2046.4731601712786,2046.4731601712786,2046.4731601712786
1,2.899159663865546,8.932244811447156,8.932244811447156,8.932244811447156,3.9930707205093365,3.9930707205093365,3.9930707205093365,2048.1334216338573,2048.1334216338573,2048.1334216338573
1,3.0252100840336134,8.83837245235876,8.83837245235876,8.83837245235876,3.95110602110246,3.95110602110246,3.95110602110246,2049.776087467196,2049.776087467196,2049.776087467196
1,3.1512605042016806,8.747107658800596,8.747107658800596,8.747107658800596,3.9103070077902182,3.9103070077902182,3.9103070077902182,2051.4016397433284,2051.4016397433284,2051.4016397433284
1,3.277310924369748,8.658450430772668,8.658450430772668,8.658450430772668,3.8706736805726134,3.8706736805726134,3.8706736805726134,2053.0105605342883,2053.0105605342883,2053.0105605342883
1,3.403361344537815,8.572400768274969,8.572400768274969,8.572400768274969,3.832206039449642,3.832206039449642,3.832206039449642,2054.60333191211,2054.60333191211,2054.60333191211
1,3.5294117647058822,8.488958671307506,8.488958671307506,8.488958671307506,3.7949040844213076,3.7949040844213076,3.7949040844213076,2056.180435948828,2056.180435948828,2056.180435948828
1,3.6554621848739495,8.408124139870278,8.408124139870278,8.408124139870278,3.758767815487609,3.758767815487609,3.758767815487609,2057.742354716475,2057.742354716475,2057.742354716475
1,3.7815126050420167,8.32989717396328,8.32989717396328,8.32989717396328,3.7237972326485447,3.7237972326485447,3.7237972326485447,2059.289570287086,2059.289570287086,2059.289570287086
1,3.907563025210084,8.254277773586516,8.254277773586516,8.254277773586516,3.689992335904116,3.689992335904116,3.689992335904116,2060.8225647326944,2060.8225647326944,2060.8225647326944
